iter	Passed	Remaining
0	99	99439
1	116	58237
2	133	44353
3	150	37397
4	154	30835
5	171	28352
6	194	27525
7	220	27332
8	239	26374
9	255	25330
10	271	24447
11	288	23723
12	303	23041
13	320	22568
14	337	22145
15	354	21823
16	371	21473
17	387	21127
18	403	20823
19	419	20575
20	435	20316
21	452	20110
22	463	19679
23	478	19472
24	495	19324
25	511	19153
26	527	19019
27	543	18873
28	560	18766
29	577	18659
30	594	18567
31	609	18452
32	625	18338
33	643	18286
34	663	18298
35	682	18268
36	698	18191
37	715	18120
38	732	18038
39	748	17969
40	765	17908
41	780	17807
42	797	17744
43	813	17673
44	830	17623
45	849	17614
46	866	17560
47	882	17506
48	898	17445
49	915	17393
50	931	17332
51	947	17281
52	964	17224
53	980	17169
54	998	17151
55	1014	17097
56	1030	17044
57	1048	17027
58	1066	17005
59	1084	16994
60	1104	16994
61	1121	16960
62	1136	16910
63	1153	16867
64	1169	16823
65	1184	16767
66	1202	16740
67	1219	16710
68	1237	16691
69	1253	16653
70	1271	16636
71	1288	16609
72	1305	16572
73	1320	16525
74	1336	16480
75	1352	16448
76	1368	16407
77	1385	16376
78	1401	16335
79	1416	16291
80	1433	16266
81	1449	16223
82	1465	16192
83	1483	16180
84	1500	16155
85	1517	16129
86	1533	16093
87	1550	16066
88	1565	16029
89	1581	15991
90	1596	15952
91	1612	15911
92	1628	15879
93	1643	15841
94	1659	15806
95	1679	15813
96	1698	15809
97	1714	15784
98	1729	15741
99	1745	15707
100	1761	15675
101	1776	15639
102	1792	15610
103	1807	15576
104	1824	15551
105	1841	15529
106	1857	15499
107	1873	15470
108	1890	15450
109	1905	15418
110	1921	15390
111	1937	15358
112	1952	15324
113	1969	15308
114	1984	15274
115	2000	15245
116	2016	15217
117	2031	15184
118	2046	15154
119	2063	15130
120	2079	15104
121	2095	15080
122	2111	15052
123	2126	15020
124	2142	14994
125	2159	14980
126	2176	14959
127	2191	14929
128	2207	14906
129	2223	14878
130	2238	14849
131	2254	14822
132	2269	14797
133	2285	14772
134	2301	14748
135	2317	14726
136	2333	14699
137	2349	14674
138	2364	14649
139	2382	14638
140	2406	14660
141	2422	14639
142	2438	14614
143	2453	14587
144	2469	14560
145	2485	14535
146	2500	14511
147	2516	14489
148	2532	14463
149	2548	14442
150	2563	14415
151	2579	14389
152	2594	14365
153	2610	14341
154	2626	14319
155	2642	14294
156	2658	14275
157	2675	14256
158	2691	14237
159	2708	14218
160	2724	14197
161	2740	14174
162	2756	14155
163	2772	14134
164	2789	14115
165	2804	14091
166	2823	14081
167	2839	14062
168	2855	14038
169	2870	14016
170	2886	13995
171	2902	13974
172	2918	13953
173	2934	13929
174	2949	13906
175	2965	13885
176	2982	13865
177	2998	13845
178	3015	13832
179	3033	13819
180	3049	13800
181	3066	13783
182	3082	13761
183	3098	13742
184	3114	13718
185	3133	13713
186	3155	13716
187	3172	13704
188	3189	13687
189	3206	13667
190	3222	13648
191	3238	13626
192	3254	13606
193	3269	13582
194	3285	13563
195	3303	13550
196	3319	13532
197	3337	13517
198	3354	13502
199	3371	13485
200	3387	13464
201	3408	13465
202	3429	13465
203	3445	13444
204	3461	13423
205	3478	13405
206	3497	13400
207	3517	13393
208	3533	13372
209	3547	13347
210	3563	13324
211	3579	13303
212	3594	13281
213	3610	13260
214	3627	13243
215	3642	13220
216	3657	13198
217	3673	13176
218	3688	13155
219	3704	13135
220	3720	13113
221	3738	13101
222	3763	13113
223	3781	13101
224	3797	13078
225	3812	13058
226	3829	13039
227	3845	13019
228	3861	13000
229	3876	12978
230	3892	12957
231	3907	12936
232	3922	12913
233	3938	12892
234	3954	12873
235	3970	12852
236	3986	12832
237	4002	12813
238	4018	12794
239	4033	12773
240	4049	12754
241	4065	12734
242	4081	12715
243	4097	12696
244	4114	12678
245	4129	12658
246	4145	12636
247	4161	12619
248	4178	12603
249	4197	12591
250	4212	12571
251	4229	12554
252	4245	12533
253	4260	12514
254	4276	12493
255	4291	12472
256	4308	12455
257	4324	12437
258	4339	12415
259	4354	12394
260	4371	12376
261	4387	12358
262	4402	12338
263	4419	12320
264	4441	12318
265	4456	12297
266	4472	12278
267	4487	12257
268	4502	12235
