iter	Passed	Remaining
0	86	86230
1	87	43423
2	87	29112
3	88	21943
4	88	17650
5	89	14795
6	89	12744
7	90	11217
8	91	10030
9	91	9082
10	92	8298
11	92	7641
12	93	7087
13	93	6610
14	94	6194
15	94	5832
16	95	5514
17	95	5229
18	96	4977
19	96	4750
20	97	4546
21	98	4362
22	98	4193
23	99	4036
24	99	3893
25	100	3760
26	100	3638
27	101	3523
28	102	3416
29	102	3315
30	103	3221
31	103	3131
32	104	3050
33	104	2974
34	105	2903
35	105	2835
36	106	2772
37	107	2712
38	107	2653
39	108	2596
40	108	2544
41	109	2493
42	109	2444
43	110	2396
44	110	2351
45	111	2308
46	111	2268
47	112	2230
48	113	2193
49	113	2157
50	114	2123
51	114	2089
52	115	2056
53	115	2027
54	116	1997
55	116	1971
56	117	1943
57	118	1917
58	118	1891
59	119	1867
60	119	1844
61	120	1821
62	120	1798
63	121	1777
64	122	1756
65	122	1736
66	123	1717
67	123	1697
68	124	1678
69	125	1660
70	125	1642
71	126	1624
72	126	1607
73	127	1591
74	127	1575
75	128	1561
76	129	1546
77	129	1532
78	130	1517
79	130	1504
80	131	1491
81	131	1477
82	132	1461
83	132	1447
84	133	1435
85	133	1423
86	134	1411
87	135	1399
88	135	1389
89	136	1378
90	137	1372
91	138	1362
92	138	1352
93	139	1341
94	139	1331
95	140	1320
96	140	1311
97	141	1300
98	141	1291
99	142	1282
100	143	1273
101	143	1266
102	144	1257
103	144	1249
104	145	1240
105	146	1232
106	146	1223
107	147	1215
108	147	1207
109	148	1199
110	148	1191
111	149	1184
112	150	1177
113	150	1170
114	151	1165
115	152	1158
116	152	1151
117	153	1144
118	153	1138
119	154	1131
120	154	1124
121	155	1117
122	155	1111
123	156	1105
124	157	1099
125	157	1093
126	158	1087
127	158	1081
128	159	1076
129	160	1070
130	160	1065
131	161	1060
132	161	1054
133	162	1049
134	162	1044
135	163	1038
136	164	1034
137	164	1028
138	165	1024
139	165	1019
140	166	1014
141	166	1008
142	167	1003
143	168	999
144	168	994
145	169	989
146	169	985
147	170	980
148	170	975
149	171	971
150	172	967
151	172	962
152	173	958
153	173	954
154	174	949
155	174	945
156	175	941
157	175	937
158	176	933
159	176	929
160	177	924
161	177	919
162	178	915
163	178	911
164	179	907
165	180	904
166	180	901
167	181	897
168	181	893
169	182	890
170	182	887
171	183	883
172	184	879
173	184	876
174	185	872
175	185	869
176	186	865
177	186	862
178	187	858
179	187	855
180	188	852
181	188	849
182	189	845
183	189	842
184	190	838
185	190	835
186	191	832
187	191	829
188	192	826
189	193	823
190	193	820
191	194	817
192	194	814
193	195	812
194	196	809
195	196	806
196	197	803
197	197	800
198	198	797
199	198	794
200	199	792
201	199	789
202	200	786
203	200	783
204	201	781
205	201	778
206	202	775
207	203	773
208	203	770
209	204	768
210	204	766
211	205	763
212	206	761
213	206	759
214	207	756
215	207	754
216	208	752
217	209	750
218	209	748
219	210	745
220	210	743
221	211	741
222	212	739
223	212	736
224	213	734
225	213	732
226	214	729
227	214	727
228	215	725
229	216	723
230	216	721
231	217	719
232	218	718
233	218	716
234	219	714
235	219	712
236	220	709
237	221	707
238	221	705
239	222	703
240	222	701
241	223	699
242	223	697
243	224	696
244	225	694
245	225	692
246	226	690
247	227	688
248	227	686
249	228	684
250	228	682
251	229	680
252	229	678
253	230	676
254	230	674
255	231	672
256	231	670
257	232	668
258	233	667
259	233	665
260	234	663
261	234	661
262	235	659
263	236	657
264	236	655
265	237	654
266	237	652
267	238	650
268	238	648
269	239	646
270	239	645
271	240	643
272	241	642
273	241	640
274	242	638
275	242	636
276	243	634
277	243	632
278	244	631
279	244	629
280	245	627
281	245	625
282	246	624
283	246	622
284	247	620
285	248	619
286	248	617
287	249	616
288	249	614
289	250	612
290	250	610
291	251	609
292	251	607
293	252	606
294	252	604
295	253	602
296	253	601
297	254	599
298	255	597
299	255	596
300	256	595
301	256	593
302	257	592
303	257	590
304	258	588
305	258	587
306	259	585
307	259	584
308	260	582
309	261	581
310	261	579
311	262	578
312	262	576
313	263	575
314	263	574
315	264	572
316	265	570
317	265	569
318	266	568
319	266	566
320	267	565
321	267	563
322	268	562
323	268	560
324	269	559
325	269	557
326	270	556
327	271	555
328	271	553
329	272	552
330	272	551
331	273	549
332	274	548
333	274	547
334	275	546
335	276	545
336	276	544
337	277	542
338	277	541
339	278	540
340	279	539
341	279	538
342	280	536
343	280	535
344	281	534
345	281	532
346	282	531
347	282	530
348	283	528
349	284	527
350	284	526
351	285	524
352	285	523
353	286	522
354	287	521
355	287	520
356	288	519
357	288	518
358	289	516
359	290	515
360	290	514
361	291	513
362	291	512
363	292	510
364	293	509
365	293	508
366	294	507
367	295	506
368	295	505
369	296	504
370	296	503
371	297	501
372	297	500
373	298	499
374	299	498
375	299	497
376	300	495
377	300	494
378	301	493
379	302	492
380	302	491
381	303	490
382	303	489
383	304	488
384	304	486
385	305	485
386	305	484
387	306	483
388	307	482
389	307	481
390	308	480
391	309	479
392	309	478
393	310	477
394	310	476
395	311	474
396	311	473
397	312	472
398	313	471
399	313	470
400	314	469
401	314	468
402	315	467
403	316	466
404	316	465
405	317	464
406	317	463
407	318	462
408	319	461
409	319	460
410	320	459
411	320	458
412	321	456
413	321	455
414	322	454
415	323	453
416	323	452
417	324	451
418	324	450
419	325	449
420	325	448
421	326	447
422	326	445
423	327	444
424	328	443
425	328	442
426	329	441
427	329	440
428	330	439
429	330	438
430	331	437
431	331	436
432	332	435
433	333	434
434	333	433
435	334	432
436	334	431
437	335	430
438	335	429
439	336	428
440	336	426
441	337	425
442	337	424
443	338	423
444	339	423
445	339	422
446	340	421
447	341	420
448	341	419
449	342	418
450	342	417
451	343	416
452	343	414
453	344	413
454	344	412
455	345	411
456	345	410
457	346	410
458	347	409
459	347	408
460	348	407
461	348	406
462	349	405
463	349	404
464	350	403
465	350	402
466	351	401
467	352	400
468	352	399
469	353	398
470	353	397
471	354	396
472	354	395
473	355	394
474	356	393
475	356	392
476	357	391
477	357	390
478	358	389
479	358	388
480	359	387
481	359	386
482	360	385
483	361	384
484	361	384
485	362	383
486	363	382
487	363	381
488	364	380
489	365	379
490	365	379
491	366	378
492	367	377
493	367	376
494	368	375
495	368	374
496	369	373
497	370	373
498	370	372
499	371	371
500	371	370
501	372	369
502	372	368
503	373	367
504	374	366
505	374	365
506	375	364
507	375	363
508	376	363
509	376	362
510	377	361
511	378	360
512	378	359
513	379	358
514	379	357
515	380	356
516	380	355
517	381	354
518	381	353
519	382	352
520	382	352
521	383	351
522	384	350
523	384	349
524	385	348
525	385	347
526	386	346
527	386	345
528	387	344
529	387	343
530	388	343
531	388	342
532	389	341
533	389	340
534	390	339
535	391	338
536	391	337
537	392	336
538	392	336
539	393	335
